Variant,Name,Slot,Quality,Weapon Type,Base Damage,Optimal Range,RPM,Mag Size,Reload Speed (ms),HSD,Core 1,Core 1 Max,Core 2,Core 2 Max,Attribute 1,Talent,Optics,Under Barrel,Magazine,Muzzle,Icon,Icon Ref
MK47,Harmony,P,Named,Rifle,124901,55,300,30,1940,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfectly In Sync,Neutral / Short / Long,Side / Short / Long,8.02,8.02,harmony.png,w_ar_cmmg_resolute_300_t1
AUG,The Bighorn - Semi-Auto Mode,P,Exotic,Assault Rifle,230829,27,120,42,2100,55,Assault Rifle Damage,15,Health Damage,21,Critical Hit Damage,Big Game Hunter,The Bighorn,The Bighorn,The Bighorn,The Bighorn,the-bighorn.png,w_ar_steyr_aug_a3_ar_t1
TKB-408,TKB-408,P,High End,Assault Rifle,63508.5,27,600,30,1870,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,tkb_408.png,rewards_season08_blueprint_w_assaultrifle_tkb408_t1_v1
TKB-408,Kingbreaker,P,Named,Assault Rifle,63508.5,27,600,30,1870,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Flatline,Neutral / Short / Long,Side / Short / Long,8.02,8.02,kingbreaker.png,rewards_season08_blueprint_w_assaultrifle_tkb408_t1_v1
HK GR9,GR9,P,High End,LMG,49480,35,750,200,3630,65,LMG Damage,15,Damage to TOC,12,A,A,GR9,Side / Short,Ammunition Belt,8.02,gr9.png,player_weapon_lightmachinegun_hkgr9_t1_v1_w_lmg_gr-9_t1
HK GR9,Dare,P,Named,LMG,49480,35,750,200,3630,65,LMG Damage,15,Damage to TOC,12,A,Perfect Flatline,GR9,Side / Short,Ammunition Belt,QDC,dare.png,player_weapon_lightmachinegun_hkgr9_t1_v1_w_lmg_gr-9_t1
KAC,Bluescreen,P,Exotic,LMG,62361,40,720,200,2220,65,LMG Damage,15,Damage to TOC,12,Damage to Armor,Disruptor Rounds,Bluescreen,Bluescreen,Bluescreen,Bluescreen,bluescreen.png,w_lmg_kac_lamg_t2
SVD,Dread Edict,P,Exotic,Marksman Rifle,156662.5,50,260,10,2480,0,Marksman Rifle Damage,15,Headshot Damage,111,Damage to TOC,Full Stop,Dread Edict,Dread Edict,Dread Edict,Dread Edict,svd.png,w_mr_svd_t1
ACS-12,Lefty,P,Named,Shotgun,169243,14,300,20,2300,45,Shotgun Damage,15,Damage to Armor,12,A,Perfect Sledgehammer,Micro / Neutral / Short,Side / Short / Long,Tubular,,lefty.png,w_player_weapon_rifle_named_lefty
M1A,Stage Left,P,Named,Rifle,129179.5,60,320,10,2320,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Sledgehammer,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,stage_left.png,w_player_weapon_rifle_named_stageleft_v2
PF-45,Busy Little Bee,S,Exotic,Pistol,93962.5,18,400,10,1610,100,Pistol Damage,15,,,A,Busy Little Bee,Busy Little Bee,Busy Little Bee,Busy Little Bee,Busy Little Bee,busy_little_bee.png,w_tu16_mp45_exotic_busy_little_bee
M1A,Doctor Home,P,Exotic,Rifle,129269.5,60,320,10,1930,60,Rifle Damage,15,Critical Hit Damage,17,Damage to TOC,Doctor Home,Doctor Home,Doctor Home,Doctor Home,Doctor Home,doctor-home.png,player_weapon_rifle_doctor_home_exotic
G28,Sacrum Imperium,P,Exotic,Marksman Rifle,206425,50,180,20,3600,0,Marksman Rifle Damage,15,Headshot Damage,111,A,The Trap,Sacrum Imperium,Sacrum Imperium,Sacrum Imperium,Sacrum Imperium,g28.png,w_mr_hk_g28_t1
G28,Relic,P,Named,Marksman Rifle,206425,50,180,20,3600,0,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfectly Determined,Neutral / Short / Long,Side / Short / Long,8.02,8.02,g28.png,w_mr_hk_g28_t1
Magnum,Prophet,S,Named,Pistol,233278,16,160,6,2540,100,Pistol Damage,15,,,A,Perfectly Determined,Micro / Neutral / Short,,Revolver Drum,,magnum.png,w_p_s&w586_t1
M4,St Elmo's Engine,P,Exotic,Assault Rifle,46917.5,31,850,40,2040,55,Assault Rifle Damage,15,Health Damage,21,A,Actum Est,St Elmo's Engine,St Elmo's Engine,St Elmo's Engine,St Elmo's Engine,st_elmos.png,w_ar_m4_t1
MG5,Big Show,P,Named,LMG,54322,35,800,50,2960,85,LMG Damage,15,Damage to TOC,12,A,Perfect Thunder Strike,Neutral / Short / Long,Side / Short,Ammunition Belt,,big_show.png,w_lmg_hk121_t1
MP5,Cabaret,P,Named,SMG,53903.5,21,800,30,1790,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Thunder Strike,Neutral / Short / Long / Ironsights,Side / Short / Long,9mm,9mm,mp5.png,w_smg_mp5_t1
MG5,Iron Lung,P,Exotic,LMG,54322,35,800,50,2960,85,LMG Damage,15,Damage to TOC,12,A,Ardent,Iron Lung,Iron Lung,Iron Lung,,iron_lung.png,player_weapon_lightmachinegun_hk121_t1_v1_exotic_icon
Vector,Ouroboros,P,Exotic,SMG,38300.5,15,1403,50,1650,50,SMG Damage,15,Critical Hit Chance,21,A,Rule Them All,Ouroboros,Ouroboros,Ouroboros,Ouroboros,ouroboros.png,w_smg_krissvector_t1_exotic_inc
G36,Born Great,P,Named,Assault Rifle,52564,35,750,30,2340,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Stabilize,Short / Long,Side / Short,5.56,5.56,g36.png,w_ar_g36_t1
Thompson,Grown Great,P,Named,SMG,50627,19,900,50,1540,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Stabilize,,,,,thompson.png,w_smg_thompson_t1
Mosquito,Mosquito,S,Exotic,Pistol,102584.5,16,350,15,1650,100,Pistol Damage,15,,,A,Mosquito Song,,,Mosquito,Mosquito,mosquito.png,player_weapon_pistol_m9_t1_v1_exotic_icon.png
MDR,Vindicator,P,Exotic,Rifle,102970,60,380,25,2970,0,Assault Rifle Damage,15,Health Damage,21,A,Ortiz Assault Interface,Vindicator,Vindicator,Vindicator,Vindicator,vindicator.png,w_ar_mdr_t1_exotic_icon
M16A2,Whisper,P,Named,Rifle,106971,50,400,30,2440,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfectly Behind You,Micro / Neutral / Short,,5.56,5.56,whisper.png,w_ar_m16a2_t1
Model 700,Brutus,P,Named,Marksman Rifle,412516,50,55,7,3980,0,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfectly Behind You,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,brutus.png,w_mr_m24_t3
KSG,Overlord,P,Exotic,Shotgun,678928,16,70,12,6790,45,Shotgun Damage,15,Damage to Armor,21,A,Capitulate,Overlord,Overlord,Overlord,Overlord,overlord.png,player_weapon_shotgun_kel_tec_ksg_t1_v1_exotic_icon
SPAS-12,Thorn,P,Named,Shotgun,716008,16,70,8,5500,45,Shotgun Damage,15,Damage to Armor,21,A,Perfect Brazen,,,Tubular,,thorn.png,w_stg_spas_12_t1
Super 90,Like Glue,P,Named,Shotgun,389936,11,160,8,4650,45,Shotgun Damage,15,Damage to Armor,21,A,Perfect Brazen,Micro / Neutral / Short,Side / Short / Long,Tubular,,like_glue.png,w_stg_benelli_m4_t1
FAL,Strega,P,Exotic,Assault Rifle,57646,35,700,20,1950,55,Assault Rifle Damage,15,Health Damage,21,A,Unnerve,Strega,Strega,Strega,Strega,strega.png,player_weapon_assaultrifle_fal_t1_v1_exotic_w_ar_fal_t1_exotic_icon.png
Carbine 7,The Drill,P,Named,Assault Rifle,49790,28,790,30,2020,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Precision Strike,Neutral / Short / Long,Side / Short / Long,5.56,5.56,the_drill.png,w_ar_carbine_7_t1
HK GR9,Cricket,P,Named,LMG,49480,35,750,200,3630,65,LMG Damage,15,Damage to TOC,12,A,Perfect Precision Strike,GR9,Side / Short,Ammunition Belt,QDC,cricket.png,player_weapon_lightmachinegun_hkgr9_t1_v1_w_lmg_gr-9_t1.png
M4,Lexington,P,Named,Assault Rifle,48699.5,31,850,30,2240,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,lexington.png,w_ar_m4_t3
MP7,Oxpecker,P,Exotic,SMG,47952,19,950,50,2000,50,SMG Damage,15,Critical Hit Chance,21,A,Symbiosis,Oxpecker,Oxpecker,,Oxpecker,oxpecker.png,player_weapon_submachinegun_mp7_t1_v1_exotic_icon
RPK-74,Rusty,P,Named,LMG,55474,28,650,45,3000,65,LMG Damage,15,Damage to TOC,12,A,Perfect Pressure Point,Neutral / Short / Long,Side / Short / Long,8.02,8.02,rusty.png,w_lmg_rpk_t1
FAL,Goalie,P,Named,Assault Rifle,57634,35,700,20,2130,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Pressure Point,Neutral / Short / Long,Side / Short / Long,8.02,8.02,goalie.png,w_ar_fal_t1
Magnum,The Harvest,S,Named,Pistol,256610,16,149,6,2540,100,Pistol Damage,15,,,A,A,Micro / Short,,Revolver Drum,,magnum.png,w_p_s&w586_t1
M1A,Cooler,P,Named,Rifle,0,60,320,100,3000,60,Rifle Damage,15,Critical Hit Damage,17,A,A,,,,,cooler.png,w_tu21_m1a_supersoaker
AK-47,First Sight,P,Named,Assault Rifle,67175,27,600,30,2800,55,Assault Rifle Damage,15,Health Damage,21,A,A,Short / Long,Side / Short,7.62,,ak47.png,w_ar_ak47_t1
M249,October Fifth - M249 B,P,Named,LMG,48300,35,850,100,4540,65,LMG Damage,15,Damage to TOC,12,Damage to Armor,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,5.56,m249.png,w_lmg_m249_t1
M44,Oh Carol,P,Named,Marksman Rifle,433563.5,50,55,5,4770,0,Marksman Rifle Damage,15,Headshot Damage,137,A,A,Oh Carol,,,,oh_carol.png,w_mr_mosinnagant_t2_ohcarol
RPK,Pakhan,P,Exotic,LMG,71538,30,600,40,4000,65,LMG Damage,15,Damage to TOC,12,A,Pakhan,Pakhan,Pakhan,Pakhan,Pakhan,pakhan.png,w_lmg_rpk_exotic.png
SCAR,Lud,P,Named,Assault Rifle,59221,31,650,30,2020,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Streamline,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,lud.png,w_ar_fnscar-l_t2
SMG-9,Purist,P,Named,SMG,46734.5,15,1000,32,2300,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Streamline,Micro / Neutral / Short,Side / Short,9mm,9mm,purist.png,player_weapon_submachinegun_tec9_t2_v1_named_w_smg_tec_9_t2_icon
G36,Caretaker,P,Named,Assault Rifle,52564,35,750,30,2340,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Killer,Neutral / Short / Long,Side / Short / Long,5.56,5.56,caretaker.png,w_ar_g36_t3.png
FAMAS,Huntsman,P,Named,Assault Rifle,45272.5,26,900,30,2490,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Frenzy,Neutral / Short / Long,Side / Short,5.56,5.56,famas.png,
SVD,Handbasket,P,Named,Marksman Rifle,386988.5,50,60,10,3150,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short,MM 7.62,8.02,svd.png,w_mr_svd_t1
UMP,Slingshot,P,Named,SMG,63691.5,60,650,25,1670,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long,Side / Short / Long,.45 ACP,.45 ACP,ump_45.png,w_smg_ump45_t1
Model 700,Shroud,P,Exotic,Marksman Rifle,412516,50,55,7,3.06,0,Marksman Rifle Damage,15,Headshot Damage,111,A,High Priority Target,Shroud,Shroud,Shroud,Shroud,shroud.png,y7s2_rewards_player_weapon_marksmanrifle_m24_t3_v1_exotic_w_mr_m24_exotic_t1_icon
93R,Tempest,S,Exotic,Pistol,62714,30,700,30,2000,100,Pistol Damage,15,,,A,Restrained,,,Tempest,Tempest,tempest.png,player_weapon_pistol_93r_t1_v1_exotic_icon
UMP-45,Achilles,P,Named,Rifle,97742.5,55,420,20,2880,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Soft Spot,Neutral / Short / Long,Side / Short / Long,.45 ACP,,achilles.png,
M44,Instigator,P,Named,Marksman Rifle,417692,50,55,5,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfect Soft Spot,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,classic_m44.png,w_mr_mosinnagant_t1
ACS 12,Stack Broker,P,Named,Shotgun,150623,16,360,20,3350,45,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Neutral / Short,Side / Short / Long,,,acs_12.png,
Classic M1A,Bittersweet,P,Exotic,Rifle,231346,60,180,20,2360,60,Rifle Damage,15,Critical Hit Damage,17,A,Transfusion,Bittersweet,Bittersweet,Bittersweet,,bittersweet.png,
Super 90,Sheriff,P,Exotic,Shotgun,526412,100,160,8,4230,45,Shotgun Damage,15,Damage to Armor,12,A,Autentico,,,,,sheriff.png,player_weapon_shotgun_m4_t1_v1_exotic_icon
M870,Lockdown,P,Named,Shotgun,703672,11,75,5,3350,45,Shotgun Damage,15,Damage to Armor,12,A,Perfect Immobilize,Neutral / Short / Long,Side / Short / Long,Tubular,,m870.png,w_stg_870_t1
Vector,Froth,P,Named,SMG,39306.5,15,1200,33,2380,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Immobilize,Neutral / Short / Long / Ironsights,Side / Short,9mm,9mm,vector.png,w_smg_krissvector_t1
M1911,Quickstep,S,Named,Pistol,117435.5,12,310,7,2330,100,Pistol Damage,15,,,A,Sport Mode,Micro / Neutral,Gadget,Pistol,.45 ACP,quickstep.png,w_p_m1911_t2
M249,Big Alejandro,P,Exotic,LMG,39278.5,35,1100,200,3.66,65,LMG Damage,15,Damage to TOC,12,Critical Hit Chance,Cover Shooter,,,,,big-alejandro.png,
M249,Gear Shift,P,Named,LMG,39278,35,850,100,4540,65,LMG Damage,15,Damage to TOC,12,A,Perfectly Measured,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,5.56,gear-shift.png,
F2000,Agitator,P,Exotic,Assault Rifle,49104,31,850,30,2400,55,Assault Rifle Damage,15,Health Damage,21,A,Perturb,Agitator,,Agitator,Agitator,agitator.png,
Rhino4,Whiplash,S,Exotic,Pistol,198306,18,180,6,0,100,Pistol Damage,15,,,A,Faster Than Reloading,Whiplash,Whiplash,Whiplash,,whiplash.png,w_p_rhino_t3_player
ACR,Trader,P,Named,Rifle,92364.5,45,420,30,2630,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Back and Forth,Neutral / Short / Long,Side / Short / Long,8.02,8.02,trader.png,W_AR_ACR_T1
AUG_A3P,Interchange,P,Named,SMG,58661.6,22,725,25,2310,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Back and Forth,Neutral / Short / Long / Ironsights,Side / Short / Long,9mm,9mm,interchange.png,W_SMG_AUG-A3P_T2
ACR,The Archivist,P,Named,Assault Rifle,58896.6,31,650,30,1910,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Ranger,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,the-archivist.png,W_AR_ACR_T3
PDR,First Bloom,P,Named,Assault Rifle,57617.5,31,700,30,2040,95,Assault Rifle Damage,15,Damage to Health,21,A,Blossom Harvest,Micro / Neutral / Short,,5.56,5.56,first_bloom.png,
HK121,Bell Ringer,P,Named,LMG,52333.8,35,800,50,3010,85,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short,Ammunition Belt,8.02,bell-ringer.png,W_LMG_HK121_Krampus
MK16,Caduceus,P,Exotic,Assault Rifle,59221,31,650,30,2.02,75,Assault Rifle Damage,15,Damage to Health,21,Damage to TOC,Caduceus,Caduceus,Caduceus,Caduceus,Caduceus,caduceus.png,
SA80,Insult To Injury,P,Named,LMG,61096.8,30,610,30,3180,65,LMG Damage,15,Damage to TOC,12,A,Perfect Head Scratcher,,,,,insult_to_injury.png,
MDR,Brain Break,P,Named,Rifle,102970.4,60,360,20,2850,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Head Scratcher,,,,,brain_break.png,
Thompson,Underboss,P,Exotic,SMG,50627.2,16,900,50,1540,50,SMG Damage,15,Critical Hit Chance,21,A,Gangland Hit,Underboss,Underboss,Underboss,Underboss,underboss.png,
SCAR,Prima Donna,P,Exotic,Marksman Rifle,145850,55,55,7,4990,0,Marksman Rifle Damage,15,Headshot Damage,111,A,You Can Look,Prima Donna,Prima Donna,Prima Donna,Prima Donna,prima_donna.png,
Desert Eagle,Rabid D50,S,Named,Pistol,189171.6,18,200,8,2240,100,Pistol Damage,15,,,A,Foam at the Mouth,Micro / Neutral / Short,,,,rabid_d50.png,
